,teks,label,clean_teks
0,"Big Data adalah istilah yang menggambarkan data dengan volume yang besar, bersifat kompleks, terstruktur maupun tidak terstruktur dan terus bertambah setiap waktu. ",3,big data istilah gambar data volume sifat kompleks struktur struktur tambah
1,"Data hanyalah angka dan huruf apabila tidak ada tindakan pengolahan selanjutnya. Informasi yang didapatkan dari pengolahan data inilah yang kemudian dipakai untuk kemajuan aktivitas baik pribadi, institusi, organisasi maupun perusahaan.",3,data angka huruf tindak olah informasi dapat olah data pakai maju aktivitas pribadi institusi organisasi usaha
2,Data Analis adalah seseorang yang diminta memecahkan sebuah permasalahan dengan cara melakukan analisa data yang berkaitan dengan masalah tersebut.,3,data analis pecah masalah analisa data kait
3,"Data analis akan diberikan akses ke data-data yang dibutuhkan untuk ditransformasi dan dilakukan pemodelan. Dari data-data tersebut, ia melakukan pengolahan data untuk kemudian diambil kesimpulan dan dilakukan visualisasinya.",3,data analis akses datadata butuh transformasi model datadata olah data ambil simpul visualisasi
4,"Data Analis memerlukan keterampilan teknik visualisasi data, statistik ringkasan dan inferensial, keterampilan presentasi dan komunikasi.",3,data analis terampil teknik visualisasi data statistik ringkas inferensial terampil presentasi komunikasi
5,"Data Scientist memerlukan keterampilan algoritma Machine Learning yang digunakan untuk memprediksi peristiwa masa depan. Bukan sulap bukan sihir, bukan juga cenayang, yaa. Data Scientist memprediksi masa depan menggunakan pengolahan data. ",3,data scientist terampil algoritma machine learning prediksi peristiwa sulap sihir cenayang yaa data scientist prediksi olah data
6,Algoritma Machine Learning membangun sebuah model berdasarkan data untuk mengenali dan mengklasifikasikan pola dalam data yang kemudian digunakan untuk memprediksi apa yang akan terjadi di masa depan menggunakan keterampilan statistik dan programming.,3,algoritma machine learning bangun model dasar data nali klasifikasi pola data prediksi terampil statistik programming
7,"adi, secara ringkas perbedaan keduanya adalah Data Analisis merupakan seseorang yang memecahkan masalah dengan data, sedangkan Data Scientist merupakan seseorang yang memprediksi masa depan dengan data menggunakan algoritma Machine Learning.",3,adi ringkas beda data analisis pecah data data scientist prediksi data algoritma machine learning
8,Data analyst adalah seseorang yang bertanggung jawab untuk melakukan analisis dan riset data (data analytics) dengan menggunakan tools tertentu. ,3,data analyst tanggung analisis riset data data analytics tools
9,"data analyst melakukan riset untuk kepentingan marketing atau pengembangan produk. Mereka melihat aktivitas target pasar di internet, bisa dari apa yang sering target pasar cari di mesin pencarian dan media sosial.",3,data analyst riset penting marketing kembang produk aktivitas target pasar internet target pasar cari mesin cari media sosial
10,"Data scientist bekerja secara penuh dari membuat identifikasi, perencanaan, pengawasan, dan pengelolaan data. ",3,data scientist penuh identifikasi rencana awas kelola data
11,data analyst bertanggung jawab dalam visualisasi dan analisis data yang dengan proses yang lebih matang dalam menghasilkan keputusan.,3,data analyst tanggung visualisasi analisis data proses matang hasil putus
12,"data analyst secara latar belakang akademik berasal dari ilmu yang berkaitan dengan IT dan bisnis, seperti teknik komputer, bisnis informatika, ekonomi, teknik informatika, dan statistika atau matematika.",3,data analyst latar akademik asal ilmu kait it bisnis teknik komputer bisnis informatika ekonomi teknik informatika statistika matematika
13,Microsoft Excel adalah software yang secara umum wajib dikuasai oleh para data analyst karena data berupa angka dapat diolah secara sederhana dan kesimpulannya dapat terjawab dengan hanya menggunakan berbagai rumus.,3,microsoft excel software wajib asai data analyst data angka olah sederhana simpul jawab rumus
14,"Kalau kamu bercita-cita menjadi data analyst, hard skill ini jangan sampai kamu lewatkan: bahasa pemrograman. Biasanya, data analyst menggunakan R atau Phyton untuk menganalisis kumpulan data yang besar.",3,bercitacita data analyst hard skill lewat bahasa pemrograman data analyst r phyton analis kumpul data
15,SQL adalah database yang menyimpan banyak data untuk kamu olah ke dalam bentuk informasi. SQL menjadi software yang biasa digunakan oleh data analyst karena proses analisa datanya lebih cepat dibanding menggunakan Microsoft Excel yang dapat menampung jumlah dan kapasitas data yang lebih besar.,3,sql database simpan data olah bentuk informasi sql software data analyst proses analisa data cepat banding microsoft excel tampung kapasitas data
16,"Visualisasi data akan dilakukan seorang data analyst setelah mengumpulkan, menyusun, dan menganalisis data. Visualisasi data adalah menerjemahkan sekumpulan data besar menjadi sebuah informasi dengan kesimpulan yang dapat dipahami oleh perusahaan atau klien. Jika kamu benar-benar menjadi data analyst, kamu akan menggunakan tools SAS, Tableau, atau Cognos.",3,visualisasi data data analyst kumpul susun analis data visualisasi data terjemah kumpul data informasi simpul paham usaha klien benarbenar data analyst tools sas tableau cognos
