teks,label
"Big Data adalah istilah yang menggambarkan data dengan volume yang besar, bersifat kompleks, terstruktur maupun tidak terstruktur dan terus bertambah setiap waktu. ",3
"Data hanyalah angka dan huruf apabila tidak ada tindakan pengolahan selanjutnya. Informasi yang didapatkan dari pengolahan data inilah yang kemudian dipakai untuk kemajuan aktivitas baik pribadi, institusi, organisasi maupun perusahaan.",3
Data Analis adalah seseorang yang diminta memecahkan sebuah permasalahan dengan cara melakukan analisa data yang berkaitan dengan masalah tersebut.,3
"Data analis akan diberikan akses ke data-data yang dibutuhkan untuk ditransformasi dan dilakukan pemodelan. Dari data-data tersebut, ia melakukan pengolahan data untuk kemudian diambil kesimpulan dan dilakukan visualisasinya.",3
"Data Analis memerlukan keterampilan teknik visualisasi data, statistik ringkasan dan inferensial, keterampilan presentasi dan komunikasi.",3
"Data Scientist memerlukan keterampilan algoritma Machine Learning yang digunakan untuk memprediksi peristiwa masa depan. Bukan sulap bukan sihir, bukan juga cenayang, yaa. Data Scientist memprediksi masa depan menggunakan pengolahan data. ",3
Algoritma Machine Learning membangun sebuah model berdasarkan data untuk mengenali dan mengklasifikasikan pola dalam data yang kemudian digunakan untuk memprediksi apa yang akan terjadi di masa depan menggunakan keterampilan statistik dan programming.,3
"adi, secara ringkas perbedaan keduanya adalah Data Analisis merupakan seseorang yang memecahkan masalah dengan data, sedangkan Data Scientist merupakan seseorang yang memprediksi masa depan dengan data menggunakan algoritma Machine Learning.",3
Data analyst adalah seseorang yang bertanggung jawab untuk melakukan analisis dan riset data (data analytics) dengan menggunakan tools tertentu. ,3
"data analyst melakukan riset untuk kepentingan marketing atau pengembangan produk. Mereka melihat aktivitas target pasar di internet, bisa dari apa yang sering target pasar cari di mesin pencarian dan media sosial.",3
"Data scientist bekerja secara penuh dari membuat identifikasi, perencanaan, pengawasan, dan pengelolaan data. ",3
data analyst bertanggung jawab dalam visualisasi dan analisis data yang dengan proses yang lebih matang dalam menghasilkan keputusan.,3
"data analyst secara latar belakang akademik berasal dari ilmu yang berkaitan dengan IT dan bisnis, seperti teknik komputer, bisnis informatika, ekonomi, teknik informatika, dan statistika atau matematika.",3
Microsoft Excel adalah software yang secara umum wajib dikuasai oleh para data analyst karena data berupa angka dapat diolah secara sederhana dan kesimpulannya dapat terjawab dengan hanya menggunakan berbagai rumus.,3
"Kalau kamu bercita-cita menjadi data analyst, hard skill ini jangan sampai kamu lewatkan: bahasa pemrograman. Biasanya, data analyst menggunakan R atau Phyton untuk menganalisis kumpulan data yang besar.",3
SQL adalah database yang menyimpan banyak data untuk kamu olah ke dalam bentuk informasi. SQL menjadi software yang biasa digunakan oleh data analyst karena proses analisa datanya lebih cepat dibanding menggunakan Microsoft Excel yang dapat menampung jumlah dan kapasitas data yang lebih besar.,3
"Visualisasi data akan dilakukan seorang data analyst setelah mengumpulkan, menyusun, dan menganalisis data. Visualisasi data adalah menerjemahkan sekumpulan data besar menjadi sebuah informasi dengan kesimpulan yang dapat dipahami oleh perusahaan atau klien. Jika kamu benar-benar menjadi data analyst, kamu akan menggunakan tools SAS, Tableau, atau Cognos.",3
"Data yang kamu dapatkan berdasarkan hasil pencarian di internet pastinya menyesuaikan dengan algoritmanya. Algoritma mesin pencarian dan setiap media sosial tentunya berbeda yang mampu memengaruhi keputusan pengguna internet untuk mencari, melakukan review, sampai keputusan pembelian.",3
data analyst harus paham bagaimana machine learning bekerja dengan AI atau kecerdasan buatan yang bukan dikendalikan oleh akal manusia.,3
"Karena sekumpulan data yang dikumpulkan oleh data analyst adalah berupa angka, untuk menginterpretasikannya, data analyst butuh kemampuan statistika agar informasi dapat dipahami dan relevan sesuai dengan masalah perusahaan atau klien.",3
"Tanggung jawab kamu sebagai data analyst adalah memantau dan memastikan data tersimpan dengan aman. Untuk melakukan hal tersebut, kemampuan data warehousing ini harus kamu punya.",3
